"n","bias","nSims","differencePower","difficultyPower","interactionPower","avgDifferenceEffectSize","sdDifferenceEffectSize","avgDifficultyEffectSize","sdDifficultyEffectSize","avgInteractionEffectSize","sdInteractionEffectSize"
10,0.8,50,0.46,0.44,0.28,0.337965876475934,0.202659651186195,0.353411050219348,0.178525859109964,0.226709905792052,0.189423479612726
20,0.8,50,0.88,0.74,0.54,0.337436398954408,0.119996710061819,0.317736470410389,0.152450206121891,0.184727777430942,0.132779447154965
30,0.8,50,0.98,0.94,0.62,0.323912705926225,0.0917682622587538,0.29199624817981,0.121637798127443,0.177024875399029,0.114654192400208
40,0.8,50,1,1,0.76,0.299840442093676,0.087169117293655,0.325613919653306,0.105335511552253,0.160182290662979,0.0944723212540622
50,0.8,50,1,1,0.86,0.310154175652041,0.081182457722414,0.303243621542987,0.092565145644917,0.186221134800396,0.0987455505569633
10,0.9,50,0.7,0.6,0.34,0.424332212928366,0.16660074572183,0.416128929362144,0.174664975951186,0.295996876726964,0.212360255150157
20,0.9,50,0.96,0.88,0.66,0.404540777020987,0.108784595453613,0.340413901316648,0.144745026123591,0.273341596132689,0.160293036080029
30,0.9,50,1,1,0.76,0.379020956752701,0.0958951947323867,0.362418824578737,0.115684074762064,0.203872335647776,0.111977384333241
40,0.9,50,1,0.98,0.86,0.390835816119586,0.101042682073543,0.350135798732998,0.124221517260646,0.204006703116176,0.101035498109168
50,0.9,50,1,1,0.92,0.371686539617746,0.0702354731611741,0.367808218422361,0.0968615068071136,0.198698586096774,0.0811619753988169
