"n","bias","power","avgEffectSize","sdEffectSize"
10,0.1,0.08,0.123288959491971,0.0928498055610811
20,0.1,0.1,0.0714163503605927,0.0650916660190103
30,0.1,0.08,0.0407761947979826,0.0421688052657422
40,0.1,0.12,0.0270247187060087,0.027261226862533
50,0.1,0.26,0.0401385209599861,0.0408138688631677
60,0.1,0.26,0.0313739000554071,0.0291150391470012
70,0.1,0.18,0.0233916171098059,0.0211305277912808
80,0.1,0.22,0.0228772904380646,0.0198210368860376
90,0.1,0.36,0.0335797024793565,0.0276415686285244
100,0.1,0.4,0.0261853989642495,0.0246231512542886
10,0.2,0.18,0.149934697901749,0.11013753793639
20,0.2,0.38,0.114984933253924,0.0867047869723815
30,0.2,0.42,0.0850864366172614,0.0568817129656926
40,0.2,0.56,0.0809545863765929,0.0519682042063834
50,0.2,0.6,0.0850947976634676,0.0568695546290727
60,0.2,0.76,0.081258416768455,0.0521675285347217
70,0.2,0.78,0.0789492865028281,0.0494757609512355
80,0.2,0.7,0.0637675409597559,0.040823106076106
90,0.2,0.74,0.074093007248692,0.0487898297063202
100,0.2,0.92,0.0796099089329083,0.0428515179083439
10,0.3,0.18,0.157950753360415,0.102506339029272
20,0.3,0.6,0.162157466235741,0.097372936331225
30,0.3,0.78,0.149696453691811,0.0882656687986833
40,0.3,0.9,0.15308237076156,0.0662980298902243
50,0.3,0.9,0.132058958796848,0.0708263668620778
60,0.3,0.94,0.124176747122575,0.0530855201419373
70,0.3,1,0.128790279739625,0.0468326229328152
80,0.3,1,0.135959891655317,0.0423937191151662
90,0.3,0.98,0.113518392019187,0.0422071780575689
100,0.3,1,0.114750090671847,0.0398493576338192
10,0.4,0.48,0.25178494487319,0.146327762692892
20,0.4,0.64,0.178079783723677,0.0918127793950815
30,0.4,0.84,0.188770154409744,0.0959187676987417
40,0.4,0.98,0.186345574244084,0.0768261378551404
50,0.4,0.98,0.193925555412172,0.0631447344408007
60,0.4,1,0.200466641820726,0.0657995127748485
70,0.4,1,0.19194687988506,0.053764726248617
80,0.4,1,0.193192722281713,0.0477120552325935
90,0.4,1,0.181408435374248,0.0477281925483699
100,0.4,1,0.202078104047344,0.052592598823636
10,0.5,0.56,0.26499031615457,0.120894574892233
20,0.5,0.92,0.279245020223644,0.0973605913051702
30,0.5,1,0.262179622325309,0.0924502600398953
40,0.5,1,0.27126749874844,0.0694617774172279
50,0.5,1,0.246767419514524,0.072218540530864
60,0.5,1,0.24375960958636,0.0547580355904376
70,0.5,1,0.249954586385642,0.0601856937590121
80,0.5,1,0.249697393681265,0.0489042302120286
90,0.5,1,0.261068735858115,0.0435655005809922
100,0.5,1,0.24709391195267,0.0431729646625119
10,0.6,0.78,0.372481961624168,0.146802397601679
20,0.6,0.98,0.324462493188129,0.0922252523582371
30,0.6,0.98,0.309321854754231,0.0883442663033727
40,0.6,1,0.313202627456165,0.0606543556437543
50,0.6,1,0.308090141639838,0.0671025280075635
60,0.6,1,0.310279870652834,0.0581163247760408
70,0.6,1,0.318507678906438,0.0605377909835963
80,0.6,1,0.314471796283782,0.0428745611171078
90,0.6,1,0.327536728189223,0.0433359790442339
100,0.6,1,0.311924607016445,0.0473310603158333
10,0.7,0.9,0.396056100914947,0.118979588596089
20,0.7,1,0.378066907977214,0.0861254997027587
30,0.7,1,0.385539228280517,0.0890925573920002
40,0.7,1,0.368332683422081,0.0587749150325473
50,0.7,1,0.357687626891213,0.0678315169345669
60,0.7,1,0.361425659877716,0.0560985611984642
70,0.7,1,0.373513859691521,0.052924946010901
80,0.7,1,0.371427660032417,0.0382119965784994
90,0.7,1,0.364008441376038,0.0458433982522673
100,0.7,1,0.364716054719099,0.0463533217547007
10,0.8,0.96,0.411033247490129,0.102940243345072
20,0.8,1,0.437177158968467,0.0805901958255196
30,0.8,1,0.41417140008326,0.0613350464490414
40,0.8,1,0.417168767080664,0.0670640180531862
50,0.8,1,0.41093294032597,0.0593986377212623
60,0.8,1,0.407040725709791,0.0456268440202383
70,0.8,1,0.419142383642462,0.0480064705432399
80,0.8,1,0.410135402707508,0.0374276432694564
90,0.8,1,0.410003971911063,0.0376350028394051
100,0.8,1,0.414492144450364,0.0437170965476548
